boro_code,ct2010,crashes_total,prob_per_killed_total,prob_per_injured_total,prob_ped_killed_total,prob_ped_injured_total,prob_cyclist_killed_total,prob_cyclist_injured_total,prob_motorist_killed_total,prob_motorist_injured_total
3,058000,501,0.0,0.25748502994011974,0.0,0.12574850299401197,0.0,0.04590818363273453,0.0,0.08383233532934131
3,058200,462,0.0,0.18831168831168832,0.0,0.06493506493506493,0.0,0.032467532467532464,0.0,0.09090909090909091
3,058400,405,0.0049382716049382715,0.23950617283950618,0.0049382716049382715,0.07654320987654321,0.0,0.04197530864197531,0.0,0.11604938271604938
3,058600,175,0.005714285714285714,0.24,0.005714285714285714,0.15428571428571428,0.0,0.005714285714285714,0.0,0.07428571428571429
3,058800,340,0.0,0.18529411764705883,0.0,0.07941176470588235,0.0,0.011764705882352941,0.0,0.09117647058823529
3,058900,739,0.0,0.14479025710419485,0.0,0.035182679296346414,0.0,0.02165087956698241,0.0,0.08525033829499323
3,059000,492,0.0,0.1991869918699187,0.0,0.0975609756097561,0.0,0.036585365853658534,0.0,0.06707317073170732
3,059100,307,0.003257328990228013,0.10749185667752444,0.0,0.026058631921824105,0.003257328990228013,0.029315960912052116,0.0,0.05211726384364821
3,059200,617,0.0,0.26580226904376014,0.0,0.1085899513776337,0.0,0.027552674230145867,0.0,0.1280388978930308
3,059300,311,0.0,0.09646302250803858,0.0,0.028938906752411574,0.0,0.012861736334405145,0.0,0.05787781350482315
3,059401,823,0.002430133657351154,0.2733900364520049,0.002430133657351154,0.07533414337788578,0.0,0.03766707168894289,0.0,0.14945321992709598
3,059402,577,0.0,0.2720970537261698,0.0,0.07452339688041594,0.0,0.025996533795493933,0.0,0.1681109185441941
3,059600,274,0.0072992700729927005,0.19708029197080293,0.0072992700729927005,0.0948905109489051,0.0,0.021897810218978103,0.0,0.07664233576642336
3,059800,218,0.0045871559633027525,0.22935779816513763,0.0045871559633027525,0.013761467889908258,0.0,0.027522935779816515,0.0,0.1834862385321101
3,060000,791,0.0037926675094816687,0.20859671302149177,0.0037926675094816687,0.08470290771175727,0.0,0.03034134007585335,0.0,0.09355246523388117
3,060600,854,0.0,0.20374707259953162,0.0,0.09601873536299765,0.0,0.02224824355971897,0.0,0.08196721311475409
3,060800,932,0.002145922746781116,0.20386266094420602,0.001072961373390558,0.0536480686695279,0.0,0.03862660944206009,0.001072961373390558,0.10944206008583691
3,061002,239,0.0041841004184100415,0.1506276150627615,0.0041841004184100415,0.0794979079497908,0.0,0.012552301255230125,0.0,0.05439330543933055
3,061003,388,0.0,0.211340206185567,0.0,0.07731958762886598,0.0,0.03608247422680412,0.0,0.0979381443298969
3,061004,488,0.0020491803278688526,0.18237704918032788,0.0020491803278688526,0.06762295081967214,0.0,0.02459016393442623,0.0,0.09016393442622951
3,061200,121,0.0,0.23140495867768596,0.0,0.04132231404958678,0.0,0.008264462809917356,0.0,0.18181818181818182
3,061600,225,0.008888888888888889,0.2222222222222222,0.0044444444444444444,0.06222222222222222,0.0,0.017777777777777778,0.0044444444444444444,0.14666666666666667
3,062000,174,0.0,0.22988505747126436,0.0,0.06321839080459771,0.0,0.034482758620689655,0.0,0.13218390804597702
3,062200,220,0.0,0.15454545454545454,0.0,0.045454545454545456,0.0,0.022727272727272728,0.0,0.08636363636363636
3,062600,396,0.0,0.2474747474747475,0.0,0.06060606060606061,0.0,0.017676767676767676,0.0,0.1691919191919192
3,062800,397,0.005037783375314861,0.1561712846347607,0.0025188916876574307,0.042821158690176324,0.0,0.015113350125944584,0.0025188916876574307,0.09571788413098237
