boro_code,ct2010,YEAR,crashes,prob_per_killed,prob_per_injured,prob_ped_killed,prob_ped_injured,prob_cyclist_killed,prob_cyclist_injured,prob_motorist_killed,prob_motorist_injured
1,000201,2012,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,000201,2013,15,0.0,0.2,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333
1,000201,2014,22,0.0,0.22727272727272727,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.09090909090909091
1,000201,2015,20,0.0,0.3,0.0,0.1,0.0,0.1,0.0,0.1
1,000201,2016,18,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.05555555555555555
1,000201,2017,15,0.0,0.2,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0
1,000201,2018,28,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.07142857142857142
1,000201,2019,23,0.0,0.13043478260869565,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0
1,000201,2020,17,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,0.0,0.0
1,000201,2021,15,0.0,0.4,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.13333333333333333
1,000201,2022,18,0.0,0.3333333333333333,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.2222222222222222
1,000201,2023,7,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
1,000202,2012,40,0.0,0.175,0.0,0.05,0.0,0.025,0.0,0.1
1,000202,2013,60,0.0,0.18333333333333332,0.0,0.08333333333333333,0.0,0.05,0.0,0.06666666666666667
1,000202,2014,66,0.0,0.16666666666666666,0.0,0.030303030303030304,0.0,0.045454545454545456,0.0,0.09090909090909091
1,000202,2015,48,0.020833333333333332,0.125,0.020833333333333332,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664
1,000202,2016,46,0.0,0.10869565217391304,0.0,0.043478260869565216,0.0,0.0,0.0,0.06521739130434782
1,000202,2017,47,0.0,0.23404255319148937,0.0,0.06382978723404255,0.0,0.0851063829787234,0.0,0.0851063829787234
1,000202,2018,52,0.0,0.15384615384615385,0.0,0.0,0.0,0.057692307692307696,0.0,0.09615384615384616
1,000202,2019,59,0.0,0.2033898305084746,0.0,0.06779661016949153,0.0,0.0847457627118644,0.0,0.05084745762711865
1,000202,2020,32,0.0,0.15625,0.0,0.03125,0.0,0.09375,0.0,0.03125
1,000202,2021,27,0.0,0.4074074074074074,0.0,0.07407407407407407,0.0,0.1111111111111111,0.0,0.2222222222222222
1,000202,2022,35,0.0,0.45714285714285713,0.0,0.2571428571428571,0.0,0.05714285714285714,0.0,0.14285714285714285
1,000202,2023,18,0.0,0.5,0.0,0.16666666666666666,0.0,0.05555555555555555,0.0,0.2777777777777778
1,000600,2012,46,0.0,0.32608695652173914,0.0,0.13043478260869565,0.0,0.06521739130434782,0.0,0.13043478260869565
1,000600,2013,70,0.0,0.3,0.0,0.1,0.0,0.12857142857142856,0.0,0.08571428571428572
1,000600,2014,71,0.014084507042253521,0.28169014084507044,0.014084507042253521,0.15492957746478872,0.0,0.056338028169014086,0.0,0.07042253521126761
1,000600,2015,72,0.0,0.20833333333333334,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.08333333333333333
1,000600,2016,74,0.0,0.3108108108108108,0.0,0.13513513513513514,0.0,0.08108108108108109,0.0,0.0945945945945946
1,000600,2017,76,0.0,0.25,0.0,0.14473684210526316,0.0,0.05263157894736842,0.0,0.05263157894736842
1,000600,2018,87,0.011494252873563218,0.26436781609195403,0.011494252873563218,0.1724137931034483,0.0,0.034482758620689655,0.0,0.05747126436781609
1,000600,2019,78,0.0,0.3333333333333333,0.0,0.15384615384615385,0.0,0.08974358974358974,0.0,0.08974358974358974
1,000600,2020,44,0.0,0.2727272727272727,0.0,0.13636363636363635,0.0,0.09090909090909091,0.0,0.045454545454545456
1,000600,2021,42,0.0,0.38095238095238093,0.0,0.047619047619047616,0.0,0.21428571428571427,0.0,0.09523809523809523
1,000600,2022,44,0.0,0.45454545454545453,0.0,0.1590909090909091,0.0,0.1590909090909091,0.0,0.09090909090909091
1,000600,2023,16,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25
1,000700,2012,54,0.0,0.09259259259259259,0.0,0.09259259259259259,0.0,0.0,0.0,0.0
1,000700,2013,119,0.0,0.14285714285714285,0.0,0.09243697478991597,0.0,0.025210084033613446,0.0,0.025210084033613446
1,000700,2014,121,0.0,0.11570247933884298,0.0,0.05785123966942149,0.0,0.024793388429752067,0.0,0.04132231404958678
1,000700,2015,105,0.0,0.11428571428571428,0.0,0.02857142857142857,0.0,0.05714285714285714,0.0,0.02857142857142857
1,000700,2016,114,0.0,0.15789473684210525,0.0,0.07017543859649122,0.0,0.03508771929824561,0.0,0.05263157894736842
1,000700,2017,98,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.061224489795918366,0.0,0.02040816326530612
1,000700,2018,115,0.0,0.14782608695652175,0.0,0.0782608695652174,0.0,0.043478260869565216,0.0,0.034782608695652174
1,000700,2019,112,0.0,0.08035714285714286,0.0,0.05357142857142857,0.0,0.008928571428571428,0.0,0.026785714285714284
1,000700,2020,34,0.0,0.14705882352941177,0.0,0.029411764705882353,0.0,0.08823529411764706,0.0,0.029411764705882353
1,000700,2021,46,0.0,0.17391304347826086,0.0,0.043478260869565216,0.0,0.06521739130434782,0.0,0.043478260869565216
