boro_code,ct2010,c_lat,c_lon
2,007000,40.83,-73.866
2,012101,40.828,-73.889
2,012500,40.829,-73.894
2,016200,40.829,-73.822
2,017500,40.831,-73.914
2,017902,40.837,-73.913
2,020601,40.837,-73.851
2,022102,40.838,-73.916
2,022300,40.841,-73.915
2,023200,40.847,-73.863
2,024600,40.852,-73.861
2,025400,40.848,-73.852
2,028700,40.883,-73.905
2,030100,40.883,-73.918
2,031200,40.862,-73.842
2,031400,40.862,-73.846
2,033000,40.862,-73.866
2,036800,40.875,-73.856
2,039400,40.886,-73.863
2,039600,40.884,-73.859
2,039800,40.883,-73.853
2,040303,40.87,-73.893
2,040304,40.868,-73.895
2,040400,40.886,-73.851
2,040501,40.867,-73.891
2,040502,40.866,-73.889
2,040600,40.888,-73.857
2,040701,40.872,-73.89
2,042200,40.891,-73.855
2,042300,40.877,-73.877
2,042400,40.889,-73.85
2,042800,40.895,-73.846
2,042902,40.877,-73.874
2,043000,40.893,-73.851
2,043400,40.898,-73.852
2,043600,40.897,-73.85
4,001000,40.691,-73.859
4,001600,40.69,-73.855
4,002800,40.692,-73.844
4,003100,40.753,-73.934
4,005100,40.756,-73.932
4,006502,40.767,-73.915
4,009400,40.681,-73.837
4,010200,40.679,-73.823
4,010400,40.683,-73.827
4,011200,40.684,-73.839
4,011300,40.776,-73.908
4,011400,40.688,-73.842
4,011700,40.772,-73.91
4,011900,40.771,-73.906
4,012100,40.773,-73.904
4,012400,40.695,-73.834
4,012601,40.694,-73.837
4,012602,40.693,-73.841
4,012800,40.698,-73.84
4,014000,40.704,-73.829
4,014300,40.766,-73.912
4,014500,40.764,-73.908
4,014700,40.763,-73.911
4,014900,40.762,-73.914
4,015300,40.758,-73.914
4,015400,40.692,-73.821
4,015600,40.69,-73.821
4,015802,40.688,-73.82
4,016800,40.679,-73.817
4,017200,40.682,-73.811
4,025900,40.749,-73.904
4,026901,40.747,-73.882
4,026902,40.745,-73.883
4,027100,40.745,-73.879
4,027300,40.752,-73.873
4,027400,40.685,-73.789
4,027500,40.752,-73.876
4,027700,40.753,-73.878
4,027900,40.752,-73.88
4,028000,40.688,-73.78
4,028300,40.751,-73.885
4,028500,40.751,-73.887
4,028900,40.751,-73.892
4,032700,40.758,-73.885
4,035100,40.759,-73.877
4,037500,40.751,-73.87
4,037700,40.756,-73.869
4,037900,40.755,-73.864
4,039400,40.69,-73.759
4,040000,40.698,-73.765
4,040200,40.7,-73.769
4,040300,40.751,-73.86
4,041300,40.745,-73.861
4,041500,40.747,-73.857
4,043400,40.696,-73.779
4,044301,40.741,-73.859
4,044602,40.708,-73.8
4,044800,40.711,-73.803
